METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,VERYLOW_THRESHOLD,LOW_THRESHOLD,HIGH_THRESHOLD,VERYHIGH_THRESHOLD

serverOverallCPU,23,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CCPU%7C%25Busy,-5,-3,3,5
gddOverallCPU,23,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CCPU%7C%25Busy,-4,-3,3,4
serverJavaCPU,11,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CJVM%7CProcess%20CPU%20Usage%20%25,-4,-2,2,4
gddJavaCPU,15,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CJVM%7CProcess%20CPU%20Usage%20%25,-4,-2,2,4
serverMemory,73,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CMemory%7CUsed%20%25,-7,-5,5,7
gddMemory,89,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CMemory%7CUsed%20%25,-7,-5,5,7
serverDiskReadOps,2,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CDisks%7CReads%2Fsec,-4,-2,2,4
gddDiskReadOps,1,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CDisks%7CReads%2Fsec,-4,-2,2,4
serverDiskReadKbs,22,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CDisks%7CKB%20read%2Fsec,-50,-30,30,50
gddDiskReadKbs,14,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CDisks%7CKB%20read%2Fsec,-30,-20,20,30
serverDiskWriteOps,5,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CDisks%7CWrites%2Fsec,-2,-1,1,2
gddDiskWriteOps,1,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CDisks%7CWrites%2Fsec,-2,-1,1,2
serverDiskWriteKbs,65,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CHardware%20Resources%7CDisks%7CKB%20written%2Fsec,-70,-50,50,70
gddDiskWriteKbs,15,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CTERMINAL%7CIndividual%20Nodes%7C0186.DriverDispatch1%7CHardware%20Resources%7CDisks%7CKB%20written%2Fsec,-35,-20,20,35

serverHeap,65,SINGLE,FOCUS,Application%20Infrastructure%20Performance%7CSERVER%7CIndividual%20Nodes%7C0186.str00186%7CJVM%7CMemory%7CHeap%7CUsed%20%25,-7,-4,4,7
