METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,ERROR_THRESHOLD,WARNING_THRESHOLD

submitOrder,455,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7COrder%20Checkout.%2Forder%2Fcheckout%2FsubmitOrder%7CAverage%20Response%20Time%20%28ms%29,100,40
checkOut,275,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7COrder%20Checkout.%2Forder%2Fcheckout%2Fstart%7CAverage%20Response%20Time%20%28ms%29,100,35
storeSearch,203,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7CstoresSearch%7CAverage%20Response%20Time%20%28ms%29,100,30
orderCancel,100,SINGLE,OLO-STAGE,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CPOBSWSOLO%7CPjOnlineMaintenanceService.orderCancel%7CAverage%20Response%20Time%20%28ms%29,100,20
tipAdjust,100,SINGLE,OLO-STAGE,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CPOBSWSOLO%7CPjOnlineMaintenanceService.addOnlineOrderTip%7CAverage%20Response%20Time%20%28ms%29,100,20
createAccount,287,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7C%2Forder%2Fcreate-account-page%7CAverage%20Response%20Time%20%28ms%29,100,20
signIn,775,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7C%2Forder%2Fsignin-customer%7CAverage%20Response%20Time%20%28ms%29,100,35
menu,175,SINGLE,OLO-STAGE,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CRWD%7C%2Forder%2Fmenu%7CAverage%20Response%20Time%20%28ms%29,100,20
viewCart,1003,SINGLE,OLO-STAGE,Service%20Endpoints%7CRWD%7C%2Forder%2Fview-cart%7CAverage%20Response%20Time%20%28ms%29,100,30

rwdAvgCPU,78,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CHardware%20Resources%7CCPU%7C%25Busy,10,3
pobsAvgCPU,19,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CHardware%20Resources%7CCPU%7C%25Busy,10,3
pobswsoloAvgCPU,5,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CHardware%20Resources%7CCPU%7C%25Busy,10,2
rwdIOs,200,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CHardware%20Resources%7CDisks%7CKB%20written%2Fsec,100,30
pobsIOs,44,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CHardware%20Resources%7CDisks%7CKB%20written%2Fsec,100,20
pobswsoloIOs,54,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CHardware%20Resources%7CDisks%7CKB%20written%2Fsec,100,20

rwdHeap,67,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CJVM%7CMemory%7CHeap%7CUsed%20%25,10,6
rwdMinor,24,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Minor%20Collections%20Per%20Min,5,2
rwdMajor,9,SUM,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Major%20Collections%20Per%20Min,18,10
rwdGCTime,1395,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CJVM%7CGarbage%20Collection%7CGC%20Time%20Spent%20Per%20Min%20%28ms%29,120,60
rwdGCTimePerc,Derived_GC,SINGLE,N/A,rwdGCTime,5,1
pobsHeap,66,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJVM%7CMemory%7CHeap%7CUsed%20%25,10,6
pobsMinor,12,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Minor%20Collections%20Per%20Min,5,2
pobsMajor,14,SUM,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Major%20Collections%20Per%20Min,28,15
pobsGCTime,397,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJVM%7CGarbage%20Collection%7CGC%20Time%20Spent%20Per%20Min%20%28ms%29,120,60
pobsGCTimePerc,Derived_GC,SINGLE,N/A,pobsGCTime,5,1
pobswsoloHeap,30,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJVM%7CMemory%7CHeap%7CUsed%20%25,10,6
pobswsoloMinor,4,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Minor%20Collections%20Per%20Min,5,2
pobswsoloMajor,0,SUM,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Major%20Collections%20Per%20Min,2,1
pobswsoloGCTime,105,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJVM%7CGarbage%20Collection%7CMinor%20Collection%20Time%20Spent%20Per%20Min%20%28ms%29,60,30
pobswsoloGCTimePerc,Derived_GC,SINGLE,N/A,pobswsoloGCTime,5,1

rwdBusy,37,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CRWD%7CJMX%7CWeb%20Container%20Runtime%7C%22http-nio-8080%22%7CBusy%20Threads,60,42
pobsBusy,7,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJMX%7CWeb%20Container%20Runtime%7C%22http-nio-8080%22%7CBusy%20Threads,20,11
pobswsoloBusy,2,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJMX%7CWeb%20Container%20Runtime%7C%22http-nio-172.25.60.111-8443%22%7CBusy%20Threads,10,4
pobsdbConnections,3,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBS%7CJMX%7CJDBC%20Connection%20Pools%7C%22jdbc%2Fpobo%22%7CActive%20Connections,9,5
pobswsolodbConnections,1,SINGLE,OLO-STAGE,Application%20Infrastructure%20Performance%7CPOBSWSOLO%7CJMX%7CJDBC%20Connection%20Pools%7C%22jdbc%2Fpobo%22%7CActive%20Connections,5,1

loyaltyHeap,25,SINGLE,LOYALTY-STAGE,Application%20Infrastructure%20Performance%7CLOYALTY-API%7CJVM%7CMemory%7CHeap%7CUsed%20%25,10,5
loyaltyMinor,17,SINGLE,LOYALTY-STAGE,Application%20Infrastructure%20Performance%7CLOYALTY-API%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Minor%20Collections%20Per%20Min,5,2
loyaltyMajor,16,SUM,LOYALTY-STAGE,Application%20Infrastructure%20Performance%7CLOYALTY-API%7CJVM%7CGarbage%20Collection%7CNumber%20of%20Major%20Collections%20Per%20Min,32,17
loyaltyGCTime,300,SINGLE,LOYALTY-STAGE,Application%20Infrastructure%20Performance%7CLOYALTY-API%7CJVM%7CGarbage%20Collection%7CGC%20Time%20Spent%20Per%20Min%20%28ms%29,60,30
loyaltyGCTimePerc,Derived_GC,SINGLE,N/A,loyaltyGCTime,5,1

onCallMin,90000,SINGLE,OLO-STAGE,Overall%20Application%20Performance%7CCalls%20per%20Minute,-5000,-2000
onError,49000,SINGLE,OLO-STAGE,Overall%20Application%20Performance%7CErrors%20per%20Minute,3500,1500
onErrorPerc,Derived_Error,SINGLE,N/A,onCallMin:onError,7,3
onResponse,210,SINGLE,OLO-STAGE,Overall%20Application%20Performance%7CAverage%20Response%20Time%20%28ms%29,50,20
loCallMin,21800,SINGLE,LOYALTY-STAGE,Overall%20Application%20Performance%7CCalls%20per%20Minute,-1500,-500
loError,520,SINGLE,LOYALTY-STAGE,Overall%20Application%20Performance%7CErrors%20per%20Minute,300,150
loErrorPerc,Derived_Error,SINGLE,N/A,loCallMin:loError,3,1
loResponse,132,SINGLE,LOYALTY-STAGE,Overall%20Application%20Performance%7CAverage%20Response%20Time%20%28ms%29,50,20
mapCallMin,7200,SINGLE,MAPPING-STAGING,Overall%20Application%20Performance%7CCalls%20per%20Minute,-1500,-500
mapError,5400,SINGLE,MAPPING-STAGING,Overall%20Application%20Performance%7CErrors%20per%20Minute,700,350
mapErrorPerc,Derived_Error,SINGLE,N/A,mapCallMin:mapError,5,3
mapResponse,102,SINGLE,MAPPING-STAGING,Overall%20Application%20Performance%7CAverage%20Response%20Time%20%28ms%29,50,20
moResponse,70,SINGLE,OLO-STAGE,Information%20Points%7CPAYMENTS%20-%20Monetra%20Request%7CAverage%20Response%20Time%20%28ms%29,50,15
